time,V_actual,alpha_actual,q_actual,beta_actual,p_actual,r_actual,V_cmd,alpha_cmd,q_cmd,beta_cmd,p_cmd,r_cmd,throttle_cmd,elevator_cmd,aileron_cmd,rudder_cmd,throttle_actual,elevator_actual,aileron_actual,rudder_actual
0.2440,400.4656,0.010442,0.007645,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0545,0.0000,-0.0000,0.6325,-0.0306,0.0000,-0.0000
0.2480,400.4713,0.010579,0.007474,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0545,0.0000,-0.0000,0.6325,-0.0306,0.0000,-0.0000
0.2520,400.4770,0.010714,0.007303,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0538,0.0000,-0.0000,0.6325,-0.0306,0.0000,-0.0000
0.2560,400.4828,0.010849,0.007133,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0538,0.0000,-0.0000,0.6325,-0.0313,0.0000,-0.0000
0.2600,400.4884,0.010983,0.006973,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0538,0.0000,-0.0000,0.6325,-0.0313,0.0000,-0.0000
0.2640,400.4941,0.011115,0.006813,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0530,0.0000,-0.0000,0.6325,-0.0313,0.0000,-0.0000
0.2680,400.4998,0.011247,0.006654,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0530,0.0000,-0.0000,0.6325,-0.0320,0.0000,-0.0000
0.2720,400.5054,0.011378,0.006505,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0530,0.0000,-0.0000,0.6325,-0.0320,0.0000,-0.0000
0.2760,400.5111,0.011508,0.006356,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0523,0.0000,-0.0000,0.6325,-0.0320,0.0000,-0.0000
0.2800,400.5167,0.011637,0.006207,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0523,0.0000,-0.0000,0.6325,-0.0327,0.0000,-0.0000
0.2840,400.5223,0.011765,0.006069,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0523,0.0000,-0.0000,0.6325,-0.0327,0.0000,-0.0000
0.2880,400.5278,0.011892,0.005930,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0516,0.0000,-0.0000,0.6325,-0.0327,0.0000,-0.0000
0.2920,400.5334,0.012018,0.005791,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0516,0.0000,-0.0000,0.6325,-0.0334,0.0000,-0.0000
0.2960,400.5390,0.012144,0.005663,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0516,0.0000,-0.0000,0.6325,-0.0334,0.0000,-0.0000
0.3000,400.5445,0.012268,0.005534,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0509,0.0000,-0.0000,0.6325,-0.0334,0.0000,-0.0000
0.3040,400.5500,0.012392,0.005405,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0509,0.0000,-0.0000,0.6325,-0.0341,0.0000,-0.0000
0.3080,400.5555,0.012515,0.005285,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0509,0.0000,-0.0000,0.6325,-0.0341,0.0000,-0.0000
0.3120,400.5610,0.012637,0.005166,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0503,0.0000,-0.0000,0.6325,-0.0341,0.0000,-0.0000
0.3160,400.5665,0.012759,0.005046,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0503,0.0000,-0.0000,0.6048,-0.0348,0.0000,-0.0000
0.3200,400.5716,0.012880,0.004934,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0503,0.0000,-0.0000,0.6048,-0.0348,0.0000,-0.0000
0.3240,400.5764,0.012999,0.004821,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0496,0.0000,-0.0000,0.6048,-0.0348,0.0000,-0.0000
0.3280,400.5809,0.013119,0.004707,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0496,0.0000,-0.0000,0.6048,-0.0354,0.0000,-0.0000
0.3320,400.5852,0.013237,0.004600,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0496,0.0000,-0.0000,0.6048,-0.0354,0.0000,-0.0000
0.3360,400.5892,0.013355,0.004492,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0490,0.0000,-0.0000,0.6048,-0.0354,0.0000,-0.0000
0.3400,400.5929,0.013472,0.004383,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0490,0.0000,-0.0000,0.6048,-0.0361,0.0000,-0.0000
0.3440,400.5967,0.013588,0.004283,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0490,0.0000,-0.0000,0.6048,-0.0361,0.0000,-0.0000
0.3480,400.6004,0.013704,0.004181,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0484,0.0000,-0.0000,0.6048,-0.0361,0.0000,-0.0000
0.3520,400.6042,0.013819,0.004080,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0484,0.0000,-0.0000,0.6048,-0.0367,0.0000,-0.0000
0.3560,400.6079,0.013933,0.003986,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0484,0.0000,-0.0000,0.6048,-0.0367,0.0000,-0.0000
0.3600,400.6117,0.014046,0.003893,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0478,0.0000,-0.0000,0.6048,-0.0367,0.0000,-0.0000
0.3640,400.6154,0.014159,0.003798,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0478,0.0000,-0.0000,0.6048,-0.0373,0.0000,-0.0000
0.3680,400.6191,0.014272,0.003712,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0478,0.0000,-0.0000,0.6048,-0.0373,0.0000,-0.0000
0.3720,400.6228,0.014383,0.003626,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0472,0.0000,-0.0000,0.6048,-0.0373,0.0000,-0.0000
0.3760,400.6265,0.014494,0.003539,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0472,0.0000,-0.0000,0.6048,-0.0379,0.0000,-0.0000
0.3800,400.6302,0.014605,0.003459,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0472,0.0000,-0.0000,0.6048,-0.0379,0.0000,-0.0000
0.3840,400.6338,0.014714,0.003379,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0466,0.0000,-0.0000,0.6048,-0.0379,0.0000,-0.0000
0.3880,400.6375,0.014824,0.003299,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0466,0.0000,-0.0000,0.6048,-0.0384,0.0000,-0.0000
0.3920,400.6411,0.014932,0.003226,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0466,0.0000,-0.0000,0.6048,-0.0384,0.0000,-0.0000
0.3960,400.6447,0.015040,0.003152,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0460,0.0000,-0.0000,0.6048,-0.0384,0.0000,-0.0000
0.4000,400.6483,0.015148,0.003077,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0460,0.0000,-0.0000,0.6048,-0.0390,0.0000,-0.0000
0.4040,400.6519,0.015255,0.003010,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0460,0.0000,-0.0000,0.6048,-0.0390,0.0000,-0.0000
0.4080,400.6555,0.015361,0.002942,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6048,0.0455,0.0000,-0.0000,0.6048,-0.0390,0.0000,-0.0000
0.4120,400.6591,0.015467,0.002873,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0455,0.0000,-0.0000,0.6048,-0.0395,0.0000,-0.0000
0.4160,400.6626,0.015572,0.002811,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0455,0.0000,-0.0000,0.5742,-0.0395,0.0000,-0.0000
0.4200,400.6658,0.015677,0.002748,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0450,0.0000,-0.0000,0.5742,-0.0395,0.0000,-0.0000
0.4240,400.6687,0.015781,0.002682,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0450,0.0000,-0.0000,0.5742,-0.0400,0.0000,-0.0000
0.4280,400.6714,0.015885,0.002623,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0450,0.0000,-0.0000,0.5742,-0.0400,0.0000,-0.0000
0.4320,400.6738,0.015988,0.002561,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0445,0.0000,-0.0000,0.5742,-0.0400,0.0000,-0.0000
0.4360,400.6760,0.016091,0.002498,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0445,0.0000,-0.0000,0.5742,-0.0406,0.0000,-0.0000
0.4400,400.6779,0.016193,0.002440,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5742,0.0445,0.0000,-0.0000,0.5742,-0.0406,0.0000,-0.0000
